TRANSTEXT 9.0
PRIMARY_LANGID 5
English Text	Translated Text	Item Type
"All Supported Files"	"Všechny podporované soubory"	"combobox"
"All tasklists"	"Všechny seznamy úkolů"	"combobox"
  "All tasklists"	"Všechny seznamy úkolů"	"radiobutton"
"All tasks"	"&Všechny úkoly"	"radiobutton"
"All Tasks"	"&Všechny úkoly"	"menu"
"Alloc By"	"Zadal"	"sysheader32"
"Alloc To"	"Komu"	"sysheader32"
"Allocated by"	"Zadal"	"label"
"Allocated By"	"&Zadal"	"menu"
  "Allocated By"	"Z&adal"	"label"
"Allocated By Frequency"	"Četnost zadavatelů (Allocated By)"	"combobox"
"Allocated To"	"&Přiřazeno komu"	"menu"
  "Allocated To"	"Vy&koná"	"label"
"Allocated to"	"Vy&konává"	"label"
"Allocated To Frequency"	"Četnost řešitelů (Allocated To)"	"combobox"
"Allocations"	"alokace"	"label"
"Allow editing of task references"	"Povolit úpravy odkazů na úkoly"	"checkbox"
"Allow multi selection in the filter droplists"	"&Umožnit vícenásobný výběr v roletkách filtrů"	"checkbox"
"Allow multiple instances of ToDoList"	"Umožnit více instancí ToDoList"	"checkbox"
"Allow sorting by clicking on column headers"	"Povolit řazení kliknutím na záhlaví sloupců"	"checkbox"
"Allow time-tracking on parent tasks"	"Umožnit sledování času u nadřazených úkolů"	"checkbox"
"Alpha Release"	"Alfa verze"	"text"
"Also add time to task 'Time Spent'"	"Přidat čas také do 'Stráveného času' úkolu"	"checkbox"
"Also modify task 'Time Spent' by {0:0.###} hours"	"Změnit také 'Strávený čas' úkolu o {0:0.###} hodin"	"checkbox"
"Alternate line colour"	"&Střídat barvu řádků"	"checkbox"
"Always export task ID and Parent task ID"	"Vždy exportovat ID úkolu a ID nadřazeného úkolu"	"checkbox"
"Always hide parent tasks in List View"	"V zobrazení seznamu vždy skrýt nadřazené úkoly"	"checkbox"
"Always on Top"	"Vždy navrchu"	"tooltip"
"Always prompt me to choose"	"Vždy se mě dotázat na výběr"	"checkbox"
"Always show 'Backlog' column"	"Vždy zobrazovat sloupec 'Nevyřízené'"	"checkbox"
"Always show all available fields"	"Vždy zobrazovat všechna dostupná pole"	"radiobutton"
"Always show all fields"	"Vždy zobrazovat všechna pole"	"radiobutton"
"Always show ToDoList when it starts up"	"Při spuštění vždy zobrazit &ToDoList"	"checkbox"
"Always sort completed tasks below other tasks"	"Vždy řadit dokončené úkoly pod ostatní úkoly"	"checkbox"
"Analyse Logged Time"	"Analyzovat zaznamenaný čas"	"dialog"
"Analyse Logged Time..."	"Analyzovat zaznamenaný čas..."	"menu"
"and"	"a"	"combobox"
"And then stop the timer"	"A poté zastavit časovač"	"label"
"And/Or"	"a/nebo"	"sysheader32"
"Anonymise Task Log File"	"Anonymizovat protokol úkolu"	"menu"
"Anonymise Tasklist"	"Anonymizovat seznam úkolů"	"menu"
"Anonymous Login"	"&Anonymní přihlášení"	"checkbox"
"Any category can match"	"Může odpovídat jakákoliv kategorie"	"combobox"
"Any person can match"	"Může odpovídat jakákoliv osoba"	"combobox"
"Any status can match"	"Může odpovídat jakýkoliv stav"	"combobox"
"Any tag can match"	"Může odpovídat jakákoliv značka"	"combobox"
"Any text field"	"Jakékoliv textové pole"	"text"
"Any text field (eg. Allocated To, External ID, etc)"	"Jakékoliv textové pole (např. Přiřazeno komu, Externí ID atd.)"	"radiobutton"
"Any version can match"	"Může odpovídat jakákoliv verze"	"combobox"
"Append the following text when pasting the 'Date/Time'"	"Při vkládání 'Data/Času' připojit následující text"	"checkbox"
"Append the user's 'Created By' name when pasting the 'Date/Time'"	"Při vkládání 'Data/Času' připojit jméno tvůrce (Created By)"	"checkbox"
"Application"	"Aplikace"	"label"
"Apply"	"&Použít"	"button"
"Apply as Filter"	"Použít jako &filtr"	"button"
"Apply changes to"	"Použít změny na"	"groupbox"
"Apply font to all content"	"Použít písmo na veškerý obsah"	"radiobutton"
"Apply offset from"	"Použít posun od"	"checkbox"
"Apply offset from 'Today'"	"Použít posun od 'Dnes'"	"checkbox"
"archive"	"archiv"	"text"
"Archive Completed Tasks"	"Arc&hivovat dokončené úkoly"	"menu"
"Archive completed tasks"	"&Archivovat dokončené úkoly"	"checkbox"
"Archive Selected Tasks"	"Archi&vovat vybrané úkoly"	"menu"
"Archiving"	"Archivace"	"label"
"Are you sure you want to delete all the tasks in this tasklist?"	"Opravdu chcete odstranit všechny úkoly v tomto seznamu?"	"text"
"Are you sure you want to delete the '%s' search?"	"Opravdu chcete smazat hledání '%s'?"	"text"
"Are you sure you want to delete the application folder and its entire contents?"	"Opravdu chcete odstranit složku aplikace a celý její obsah?"	"text"
"Are you sure you want to delete the selected tasks?"	"Opravdu chcete odstranit vybrané úkoly?"	"text"
"Are you sure you want to export all open tasklists to '%s'?"	"Opravdu chcete exportovat všechny otevřené seznamy do '%s'?"	"text"
"Are you sure you want to export the active tasklist to '%s'?"	"Opravdu chcete exportovat aktivní seznam do '%s'?"	"text"
"Are you sure you want to overwrite '%s' with the results of this export?"	"Opravdu chcete přepsat '%s' výsledky tohoto exportu?"	"text"
"Arguments"	"Argumenty"	"label"
  "Arguments"	""	"sysheader32"
"Arrows"	"Šipky"	"label"
"as a tasklist"	"jako seznam úkolů"	"combobox"
"as text in the email body"	"jako text v těle e-mailu"	"combobox"
"Ascending"	"&Vzestupně"	"checkbox"
"Ask me if I want to reload it"	"Zeptat se, zda chci znovu načíst"	"combobox"
"Ask me what to do"	"Zeptat se mě, co dělat"	"combobox"
"Assign"	"&Priradiť"	"button"
"At Bottom"	"Na spodk&u"	"menu"
"At bottom of selected task"	"Na konec vybraného úkolu"	"combobox"
"At Bottom of Task"	"Za &poslední úkol"	"menu"
"At Bottom of Task's Parent"	"Na konec &nadřazených úkolů"	"menu"
"At bottom of tasklist"	"Na konec seznamu úkolů"	"combobox"
"At this date and time"	"V tomto datu a čase"	"radiobutton"
"At Top"	"Na &začátek"	"menu"
"At top of selected task"	"Na začátek vybraného úkolu"	"combobox"
"At Top of Task"	"Před &první úkol"	"menu"
"At Top of Task's Parent"	"Na začátek &nadřazených úkolů"	"menu"
"At top of tasklist"	"Na začátek seznamu úkolů"	"combobox"
"Attempt check out when loading a tasklist"	"&Zkusit uzamknout (Check out) při načítání seznamu úkolů"	"checkbox"
"Attribute"	"Atribut"	"sysheader32"
"Attribute Details"	"Podrobnosti atributu"	"groupbox"
"Attribute Inheritance"	"Dědičnost atributů"	"label"
"Attribute Label"	"Popisek atributu"	"sysheader32"
"Attribute Selection"	"Výběr atributů"	"groupbox"
"Attribute to 'track'"	"Atribut pro 'sledování'"	"label"
"Attribute Values"	"Hodnoty atributů"	"sysheader32"
"Attributes"	"Atributy"	"groupbox"
"Auto fit to cell"	"Automaticky přizpůsobit buňce"	"checkbox"
"Auto Function"	"Automatická funkce"	"menu"
"Auto-calculate missing allocations"	"Automaticky vypočítat chybějící přiřazení"	"checkbox"
"Auto-calculate parent task dates to include all subtasks"	"Automaticky vypočítat data nadřazených úkolů zahrnutím všech podúkolů"	"checkbox"
"Auto-generate header row"	"Automaticky generovat řádek záhlaví"	"combobox"
"Auto-save tasklists before running external tools"	"Automaticky uložit seznam úkolů před spuštěním externích nástrojů"	"checkbox"
"Auto-save tasklists every"	"A&utomaticky ukládat seznam úkolů každých"	"checkbox"
"Auto-save tasklists when application loses focus"	"Au&tomaticky uložit seznam úkolů při ztrátě zaměření aplikace"	"checkbox"
"Auto-save when switching tasklists"	"Au&tomaticky uložit při přepínání mezi seznamy úkolů"	"checkbox"
"Auto-scroll to task when selecting"	"Automaticky posunout na úkol při výběru"	"checkbox"
"Automatic"	"automaticky"	"text"
"Automatically adjust a task's dates when its dependency's dates changes"	"Automaticky upravit data úkolu, když se změní data závislostí"	"checkbox"
"Automatically check for updates on startup"	"Při startu automaticky kontrolovat aktualizace"	"checkbox"
"Automatically export after saving"	"Auto&maticky exportovat po uložení"	"checkbox"
"Automatically generate columns from task attribute values"	"Automaticky generovat sloupce z hodnot atributů úkolu"	"radiobutton"
"Automatically refilter after editing"	"A&utomaticky přefiltrovat po úpravě"	"checkbox"
"Automatically resort after editing"	"Po úpravě automaticky znovu seřadit"	"checkbox"
"Available Commandline Options"	"Dostupné parametry příkazového řádku"	"dialog"
"Background colour"	"Barva pozadí"	"checkbox"
"Background Colour"	"Barva pozadí"	"tooltip"
"Background colour for 'Full' columns"	"Barva pozadí pro sloupce 'Plné'"	"checkbox"
"Backing-up installation folder..."	"Zálohování instalační složky..."	"text"
"Backlog"	"Nevyřízené"	"sysheader32"
"Backup"	"Záloha"	"label"
"Backup to folder"	"Zálohovat do složky"	"label"
"Backwards"	"dozadu"	"combobox"
"Bar Style"	"Styl pruhu"	"combobox"
"Bar Visibility"	"Viditelnost lišty"	"menu"
"Bcc"	"Skrytá kopie"	"text"
"before due date"	"před termínem splnění"	"combobox"
"before start date"	"před datem zahájení"	"combobox"
"Before this task"	"Před tímto úkolem"	"label"
"Before you can download updates you need to install the Web Update Wizard component (and then try again).\n\nWould you like to download the Web Update Wizard now?"	"Před stažením aktualizací je nutné nainstalovat komponentu Průvodce webovou aktualizací.\n\nChcete jej stáhnout nyní?"	"text"
"Before you can spell check for the first time you need \nto specify the location of the Spell Checker."	"Před první kontrolou pravopisu musíte \nurčit umístění modulu kontroly pravopisu."	"text"
"Beginning at"	"Začíná v"	"label"
"begins in %.0f minutes at %s"	"začíná za %.0f minut v %s"	"text"
"begins in %s at %s"	"začíná za %s v %s"	"text"
"begins now (%s)"	"začíná nyní (%s)"	"text"
"Below selected task"	"Pod vybraný úkol"	"combobox"
"Below Task"	"&Za úkol"	"menu"
"Below Tasklist"	"Pod seznam úkolů"	"combobox"
"Beta Release"	"Beta verze"	"text"
"Billing Info"	"Platební údaje"	"text"
"Bitmap Images (*.bmp)|*.bmp|GIF Images (*.gif)|*.gif|JPEG Images (*.jpg, *.jpeg)|*.jpg;*.jpeg|PNG Images (*.png)|*.png|TIFF Images (*.tif)|*.tif||"	"Bitmapy (*.bmp)|*.bmp|Obrázky GIF (*.gif)|*.gif|Obrázky JPEG (*.jpg, *.jpeg)|*.jpg;*.jpeg|Obrázky PNG (*.png)|*.png|Obrázky TIFF (*.tif)|*.tif||"	"text"
"Body"	"&Tělo"	"label"
"Bold"	"&Tučné"	"menu"
  "Bold"	"Tučné"	"tooltip"
"Border"	"Ohraničení"	"systabcontrol32"
"Border colour"	"Barva ohraničení"	"checkbox"
"Border Colour"	"Barva ohraničení"	"tooltip"
"Border width"	"Šířka ohraničení"	"label"
"Borders"	"Ohraničení"	"menu"
"Both"	"Obojí"	"combobox"
"Bottom"	"Dole"	"combobox"
"Bottom Align"	"Zarovnat dolů"	"tooltip"
"Bottom Border"	"Dolní ohraničení"	"tooltip"
"Bottom Left"	"Dole vlevo"	"menu"
"Bottom of tasklist"	"Konec seznamu úkolů"	"combobox"
"Bottom Right"	"Dole vpravo"	"menu"
"Breakdown"	"Rozpis"	"groupbox"
"Browse"	"Prochá&zet"	"button"
"Bug Report/Feature Request..."	"Nahlásit chybu / Požádat o funkci..."	"menu"
"Bullet List"	"Seznam s odrážkami"	"tooltip"
"Burndown"	"Burndown graf"	"combobox"
"Button"	"Tlačítko"	"menu"
"By"	"Kým"	"label"
"By day"	"Podle dne"	"radiobutton"
"By month"	"Podle měsíce"	"radiobutton"
"By Now"	"Dosud"	"text"
"By task"	"Podle úkolu"	"radiobutton"
"By the End of Next Month"	"Do konce příštího měsíce"	"menu"
"By the End of Next Week"	"Do konce příštího týdne"	"menu"
"By the End of Next Year"	"Do konce příštího roku"	"combobox"
"By the end of that month"	"Do konce daného měsíce"	"combobox"
"By the end of that week"	"Do konce daného týdne"	"combobox"
"By the end of the following month"	"Do konce následujícího měsíce"	"combobox"
"By the end of the following week"	"Do konce následujícího týdne"	"combobox"
"By the End of This Month"	"Do konce tohoto měsíce"	"menu"
"By the End of This Week"	"&Do konce tohoto týdne"	"menu"
"By the End of This Year"	"Do konce tohoto roku"	"combobox"
"By the Next 7 Days"	"Během příštích 7 dní"	"text"
"By Today"	"Do dneška"	"menu"
  "By Today"	"Do dneška"	"text"
"By Tomorrow"	"Do zítřka"	"menu"
  "By Tomorrow"	"Do zítřka"	"text"
"By week"	"Podle týdne"	"radiobutton"
"By Yesterday"	"Do včerejška"	"text"
"Calculate missing 'Due' dates as"	"Vypočítat chybějící data 'Termínu' jako"	"groupbox"
"Calculate missing 'Due' dates as being the later of the task's 'Start' date and 'Today'"	"Vypočítat chybějící data 'Termínu' jako pozdější z dat 'Začátek' a 'Dnes'"	"checkbox"
"Calculate missing 'Start' dates as"	"Vypočítat chybějící data 'Začátku' jako"	"groupbox"
"Calculate missing 'Start' dates as being the earlier of the task's 'Due' date and 'Today'"	"Vypočítat chybějící data 'Začátku' jako dřívější z dat 'Termín' a 'Dnes'"	"checkbox"
"Calculate next occurrence"	"&Vypočítat další výskyt"	"label"
"Calculation"	"Výpočet"	"combobox"
"Calendar"	"kalendář"	"systabcontrol32"
"Calendar Preferences"	"Předvolby kalendáře"	"dialog"
"Can be a file, folder, website, email, or task link"	"Může být soubor, složka, web, e-mail nebo odkaz na úkol"	"text"
"Cancel"	"Zrušit"	"menu"
  "Cancel"	"Zrušit"	"button"
"Caption"	"titulek"	"label"
"Cat."	"Kat."	"text"
"Categories"	"Kategorie"	"label"
  "Categories"	""	"text"
"Category"	"Kate&gorie"	"label"
  "Category"	"&Kategorie"	"menu"
"Category Frequency"	"Četnost kategorií"	"combobox"
"Cc"	"Kopie"	"text"
"Cell padding"	"Výplň buněk"	"label"
"Cell Properties"	"Vlastnosti buňky"	"menu"
"Cell spacing"	"Rozestupy buněk"	"label"
"Cells"	"Buňky"	"menu"
"Centre"	"střed"	"combobox"
"Centre Align"	"Zarovnat na střed"	"tooltip"
"Change Cell Type"	"Změnit typ buňky"	"menu"
"Change Day"	"Změnit den"	"tooltip"
"Change Font"	"Změnit písmo"	"tooltip"
"Change font"	"Změnit písmo"	"tooltip"
"Change font size"	"Změnit velikost písma"	"tooltip"
"Change Password..."	"Změnit heslo..."	"menu"
"Change Week"	"Změnit týden"	"tooltip"
"Change..."	"Změnit..."	"button"
"Character Set"	"Znaková sada"	"label"
"characters"	"znaky"	"label"
"Chart"	"Graf"	"menu"
"Check Box"	"Zaškrtávací pole"	"menu"
"Check for Updates..."	"Zkontrolovat aktualizace..."	"menu"
"Check In"	"Uložit a odemknout (Check In)"	"menu"
"Check in tasklists if no changes have been made for more than"	"Uvolnit seznamy úkolů, pokud nebyly provedeny změny po více než"	"checkbox"
"Check in tasklists when I close them"	"Uvolnit seznamy úkolů při jejich zavření"	"checkbox"
"Check Out to Edit"	"Uzamknout pro úpravy (Check Out)"	"menu"
"Check Spelling"	"Kontrola pravopisu"	"menu"
"Check the status of remote tasklists only every"	"Kontrolovat stav vzdálených seznamů úkolů pouze každých"	"label"
"Checkbox"	"zaškrtávací pole"	"text"
"Checked in (read-only)"	"Uvolněno (pouze pro čtení)"	"text"
"Checked out"	"Uzamčeno k úpravám"	"text"
"Checkin Tasklist"	"Odemknout seznam úkolů"	"text"
"Checking Text"	"Kontrolovaný text"	"label"
"Checkout Tasklist for Editing"	"Uzamknout seznam úkolů pro úpravy"	"text"
"Cleanup Ini Preferences"	"Předvolby vyčištění INI"	"dialog"
"Cleanup Ini Preferences..."	"Předvolby vyčištění INI..."	"menu"
"Clear"	"vymazat"	"menu"
"Clear '%s' Value"	"Vymazat hodnotu '%s'"	"menu"
"Clear '%s' Values"	"Vymazat hodnoty '%s'"	"menu"
"Clear All"	"&Vymazat vše"	"button"
"Clear Attribute Value"	"Vymazat hodnotu atributu"	"menu"
"Clear Background Colour"	"Vymazat barvu pozadí"	"tooltip"
"Clear Background Image"	"Vymazat obrázek na pozadí"	"tooltip"
"Clear Borders"	"Odstranit ohraničení"	"tooltip"
"Clear Filter"	"Z&rušit filtr"	"button"
  "Clear Filter"	"Z&rušit filtr"	"menu"
"Clear Focused Task Attribute"	"Vymazat zaměřený atribut úkolu"	"menu"
"Clear Formatting"	"Vymazat formátování"	"tooltip"
"Clear Label Background Colour"	"Vymazat barvu pozadí popisku"	"tooltip"
"Clear MRU"	"Vymazat seznam naposledy použitých (MRU)"	"button"
"Clear Reminder"	"&Odstranit připomínku"	"menu"
"Clear Search"	"Vymazat hledání"	"button"
"Clear Task Attribute"	"Vymazat atribut úkolu"	"menu"
"Clear Task Colour"	"&Odstranit barvu úkolu"	"menu"
"Clear Task Icon"	"Odstranit ikonu ú&kolu"	"menu"
"Clear Zoom"	"Zrušit přiblížení"	"tooltip"
"Clipboard text"	"Text schránky"	"label"
"Close"	"Zavřít"	"button"
"Close All"	"Zavřít vše"	"menu"
"Close All Other Tasklists"	"Zavřít všechny ostatní seznamy úkolů"	"menu"
"Close Tasklist"	"Zavřít seznam úkolů"	"menu"
"Collapse"	"&Sbalit"	"menu"
"Collapse All Images"	"Sbalit všechny obrázky"	"tooltip"
"Collapse Task"	"Sbalit úkol"	"tooltip"
"Colour"	"Bar&va"	"label"
"Colour 'Priority' column"	"Barva sloupce 'Priorita'"	"checkbox"
"Colour bar by task priority"	"Barevný pruh podle priority úkolu"	"checkbox"
"Colour Scheme"	"Barevné schéma"	"label"
"Colour task titles by"	"Barva názvů úkolů podle"	"radiobutton"
"Colour task titles by assigned colours"	"Barva názvů úkolů podle přiřazených barev"	"radiobutton"
"Colour task titles by Priority"	"Barva názvů úkolů podle &priority"	"radiobutton"
"Colours"	"barvy"	"label"
"Column Dropdown List"	"Rozbalovací seznam sloupce"	"menu"
"Column Name from File..."	"Název sloupce ze souboru..."	"sysheader32"
"Column Operations"	"Operace se sloupci"	"menu"
"Column span"	"Sloučení sloupců"	"label"
"Column Title"	"Název sloupce"	"sysheader32"
"Column title"	"Název sloupce"	"label"
"Column Visibility"	"Viditelnost sloupce"	"sysheader32"
"Column width"	"Šířka sloupce"	"label"
"Column Width..."	"Šířka sloupce..."	"menu"
"Columns"	"sloupce"	"label"
"Command Line Options"	"&Parametry příkazového řádku"	"menu"
"Comment"	"komentář"	"label"
"Comments"	"Komentáře"	"combobox"
  "Comments"	"K&omentáře"	"label"
"Comments font"	"&Písmo komentářů"	"checkbox"
"Comments Format"	"Formát komentářů"	"text"
"Comments Size"	"Velikost komentářů"	"menu"
  "Comments Size"	""	"text"
"Companies"	"firmy"	"text"
"Complete"	"Dokončit"	"button"
"Complete Task"	"Dokončit úkol"	"button"
"Completed"	"&Hotovo (%)"	"label"
"Completed Date"	"Datum dokončení"	"checklistbox"
  "Completed Date"	"Datum do&končení"	"menu"
  "Completed Date"	""	"combobox"
"Completed Status"	"Stav při do&končení"	"menu"
"Completed task"	"Dokončený úkol"	"tooltip"
"Completed task colour"	"Barva do&končeného úkolu"	"checkbox"
"Completed Tasks"	"Dokončené úkoly"	"text"
"Completed tasks"	"&Dokončené úkoly"	"checkbox"
"Completed Time"	"Čas do&končení"	"label"
"Completion Checkbox"	"Zaškrtávací pole dokončení"	"text"
"Completion Date"	"Datum splnění"	"checkbox"
"Confidential"	"Důvěrné"	"text"
"Configure..."	"Konfigurovat..."	"button"
"Confirm Addition"	"Potvrdit přidání"	"text"
"Confirm Delete"	"Potvrdit odstranění"	"text"
"Confirm Export Folder"	"Potvrdit složku pro export"	"text"
"Confirm Overwrite"	"Potvrdit přepsání"	"text"
"Confirm Password"	"Potvrdit heslo"	"label"
"Confirm Reload"	"Potvrdit opětovné načtení"	"text"
"Confirm Save"	"Potvrdit uložení"	"text"
"Confirm Save As"	"Potvrdit 'Uložit jako'"	"dialog"
"Connect to Database"	"Připojit k databázi"	"dialog"
"Connect to Server"	"Připojit k serveru"	"dialog"
"Connect..."	"Připojit..."	"button"
"Connection Error"	"Chyba připojení"	"text"
"Connection Visibility"	"Viditelnost spojení"	"label"
"Content Font"	"Písmo obsahu"	"label"
"Continue time-tracking a task even when"	"Pokračovat ve sledování času úkolu, i když"	"label"
"Continue to update subtasks as parent changes"	"Aktualizovat podúkoly při změně nadřazeného úkolu"	"checkbox"
"Contribution"	"příspěvek"	"sysheader32"
"Contributor"	"přispěvatel"	"sysheader32"
"Contributors"	"Přispěvatelé"	"label"
"Control each field individually"	"Ovládat každé pole samostatně"	"radiobutton"
"Conversation Topic"	"Téma konverzace"	"text"
"Convert selected object between types\nConvert Object"	"Převést vybraný objekt mezi typy\nPřevést objekt"	"text"
"Copy"	"&Kopírovat"	"menu"
"Copy '%s' Value"	"Kopírovat hodnotu '%s'"	"menu"
"Copy '%s' Values"	"Kopírovat hodnoty '%s'"	"menu"
"Copy (More)"	"Kopírovat (více)"	"menu"
"Copy All"	"Kopírovat vše"	"button"
"Copy All Values from '%s' Column"	"Kopírovat všechny hodnoty ze sloupce '%s'"	"menu"
"Copy All Values from Column"	"Kopírovat všechny hodnoty ze sloupce"	"menu"
"Copy As"	"K&opírovat jako"	"menu"
"Copy as HTML"	"Kopírovat jako HTML"	"menu"
"Copy Attribute Value"	"Kopírovat hodnotu atributu"	"menu"
"Copy Formatting"	"Kopírovat formátování"	"menu"
"Copy Link"	"Kopírovat odkaz"	"menu"
"Copy Selected Values from '%s' Column"	"Kopírovat vybrané hodnoty ze sloupce '%s'"	"menu"
"Copy Selected Values from Column"	"Kopírovat vybrané hodnoty ze sloupce"	"menu"
"Copy Task Here"	"Zkopírovat úkol sem"	"menu"
"Copy Tasklist Path"	"Kopírovat cestu k seznamu úkolů"	"menu"
"Copying updated files to installation folder..."	"Kopírování aktualizovaných souborů do instalační složky..."	"text"
"Cost"	"&Náklady"	"menu"
  "Cost"	"&Náklady"	"label"
"Cost: %s"	"Náklady: %s"	"text"
"Create a new task"	"Vytvořit nový úkol"	"combobox"
  "Create a new task"	""	"radiobutton"
"Create Link to File"	"Vytvořit odkaz na soubor"	"dialog"
"Create Reference to Task Here"	"Vytvořit odkaz na úkol zde"	"menu"
"Create Task"	"Vytvořit ú&kol"	"menu"
"Create Task Dependency"	"Vytvořit závislost úkolu"	"dialog"
"Create Task File Link"	"Vytvořit odkaz na soubor úkolu"	"menu"
"Create Tasks from Outlook"	"Vytvořit úkoly z Outlooku"	"dialog"
"Create Time Block"	"Vytvořit časový blok"	"dialog"
"Created"	"Vytvořeno"	"text"
"Created by"	"Vytvořil"	"label"
"Created By"	"Vytvo&řil"	"sysheader32"
  "Created By"	"Vytvořil"	"combobox"
  "Created By"	"Vytvo&řil"	"menu"
"Creation Date"	"Datum vytvoření"	"checklistbox"
  "Creation Date"	"Datum vytvo&ření"	"menu"
"Creation Time"	"Čas vytvoření"	"text"
"Currency"	"Měna"	"listbox"
"Current Folder"	"Aktuální složka"	"label"
"Current folder"	"Aktuální složka"	"label"
"Current Period (%s)"	"Aktuální období (%s)"	"text"
"Current Period: %d weekdays"	"Aktuální období: %d pracovních dnů"	"label"
"Current Period: %s"	"Aktuální období: %s"	"text"
"Current shortcut key"	"Aktuální klávesová zkratka"	"label"
"Currently assigned to:\n\n'%s'"	"Aktuálně přiřazeno k:\n\n'%s'"	"text"
"Currently focused field"	"Právě aktivní pole"	"text"
"Custom"	"Vlastní"	"groupbox"
"Custom attributes"	"Vlastní atributy"	"checkbox"
"Custom Attributes"	"Vlastní atributy"	"text"
"Custom Task Attributes"	"Vlastní atributy úkolu"	"dialog"
"Custom Task Attributes..."	"Vlastní atributy úkolu..."	"menu"
"Custom Toolbar"	"Vlastní panel nástrojů"	"menu"
"Cut"	"Vyjmou&t"	"menu"
"d"	"d"	"menu"
"D"	"D"	"menu"
"Daily"	"Denně"	"radiobutton"
"Dark Mode|Dark Mode will be updated next time you restart ToDoList.\n\nWould you like to restart ToDoList now?"	"Tmavý režim|Tmavý režim bude aktualizován po restartu ToDoListu.\n\nChcete restartovat nyní?"	"text"
"Dashed"	"Čárkovaná"	"menu"
"Data"	"Data"	"menu"
"Data Format"	"Formát dat"	"menu"
"Data type"	"Datový typ"	"label"
"Data Type"	"Datový typ"	"sysheader32"
"Database"	"Databáze"	"label"
"Date"	"Datum"	"label"
"Date must be set"	"Datum musí být nastaveno"	"tooltip"
"Date of creation"	"&Datum vytvoření"	"checkbox"
"Date Picker"	"Výběr data"	"menu"
"Date prompt"	"Výzva k zadání data"	"text"
"Date range"	"Časové rozmezí"	"label"
"Date/Time"	"Datum/Čas"	"groupbox"
"Date/Time Formatting"	"Formátování data a času"	"label"
"Dates"	"Termíny"	"label"
"DateTime"	"Datum a čas"	"listbox"
"Day"	"den"	"radiobutton"
"days"	"dní"	"label"
"Days"	"Dny"	"menu"
  "Days"	""	"combobox"
"days after previous task is completed"	"dní po dokončení předchozího úkolu"	"label"
"Days Remaining"	"Zbývající dny"	"combobox"
"Days, mid"	"Dny, střední"	"combobox"
"Days, narrow"	"Dny, úzké"	"combobox"
"Days, wide"	"Dny, široké"	"combobox"
"Decades \t\t\t(eg. 2000-2009)"	"Desetiletí \t\t\t(např. 2000-2009)"	"text"
"Decades start on year '1' instead of year '0'. eg. '2001' instead of '2000'"	"Dekády začínají rokem '1' namísto '0', např. '2001' namísto '2000'"	"checkbox"
"Decimal (eg. 5.62)"	"Desetinné číslo (např. 5,62)"	"combobox"
"Decimal places"	"Desetinná místa"	"label"
"Decrease"	"snížit"	"menu"
"Decrease Font Size"	"Zmenšit velikost písma"	"tooltip"
"Decrease Indent"	"Zmenšit odsazení"	"menu"
  "Decrease Indent"	"Zmenšit odsazení"	"tooltip"
"Decrement Font Size"	"Zmenšit velikost písma"	"menu"
"Decrement Task % Completion"	"&Snížit % splnění úkolu"	"menu"
"Decrement Task Priority"	"Snížit prioritu ú&kolu"	"menu"
"Default"	"Výchozí"	"combobox"
"Default Allocated By"	"Výchozí Zadal"	"label"
"Default Allocated To"	"Výchozí Přiřazeno ko&mu"	"label"
"Default Attribute Visibility for New Tasklists"	"Výchozí viditelnost atributů pro nové seznamy úkolů"	"label"
"Default Attributes"	"Výchozí atributy"	"label"
"Default Browser..."	"Výchozí prohlížeč..."	"button"
"Default Categories"	"Výchozí &kategorie"	"label"
"Default Cell Body"	"Výchozí tělo buňky"	"label"
"Default colour"	"Výchozí barva"	"tooltip"
"Default Connection Attributes"	"Výchozí atributy spojení"	"label"
"Default data"	"Výchozí data"	"label"
"Default Filter %d"	"Výchozí filtr %d"	"menu"
"Default Filters"	"Výchozí filtry"	"menu"
"Default Statuses"	"Výcho&zí stavy"	"label"
"Default Tags"	"Výchozí značky"	"label"
"Default Task View Visibility"	"Výchozí viditelnost zobrazení úkolů"	"label"
"Default Versions"	"Výchozí verze"	"label"
"Defaults"	"Výchozí"	"button"
"Define Named Range..."	"Definovat pojmenovaný rozsah..."	"menu"
"Degrees"	"Stupně"	"label"
"Delegator"	"Delegující"	"text"
"Delete"	"Smazat"	"menu"
"Delete All Tasks"	"Smazat vše&chny úkoly"	"menu"
"Delete Attribute"	"Smazat atribut"	"tooltip"
"Delete Columns"	"Smazat sloupce"	"menu"
"Delete Connection"	"Smazat spojení"	"tooltip"
"Delete Dependency"	"Smazat závislost"	"tooltip"
"Delete Log Entry"	"Smazat záznam protokolu"	"tooltip"
"Delete Row"	"Smazat řádek"	"menu"
"Delete Rows"	"Smazat řádky"	"menu"
"Delete Rule"	"Smazat pravidlo"	"tooltip"
"Delete Search"	"Smazat hledání"	"tooltip"
"Delete Selected Task"	"&Smazat vybraný úkol"	"menu"
"Delete Task"	"Smazat úkol"	"tooltip"
"Delete Task Dependency"	"Smazat závislost úkolu"	"dialog"
"Delete Time Block"	"Smazat časový blok"	"tooltip"
"Delete Time Block Series"	"Smazat sérii časových bloků"	"tooltip"
"Delete Tool"	"&Nástroj pro smazání"	"tooltip"
"Delimiter"	"Oddělovač"	"label"
"Dependency"	"Závislost"	"menu"
  "Dependency"	"Závi&sí na"	"label"
